Epsilon,Robust Cost,Nominal Cost,Rho,Rho (True),Workload (Perturbed),Workload (True)
0.7000000000000001,0.763361112955901,0.5130504585436041,1.5,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.7806304662467268,0.5130504585275205,1.6,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.7994944912135284,0.5130504584582097,1.7000000000000002,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.8142366729223527,0.5130504585042343,1.8,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.8301583333349396,0.5130504585317098,1.9000000000000001,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7000000000000001,0.844263633862571,0.5130504584445434,2.0,0.0006452151427088139,"Workload(z0=0.48852700143543815, z1=0.48756314836565035, q=0.014004169855230208, w=0.009905680343681212)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7500000000000001,0.5133453364174633,0.5130504584960431,0.0,0.004919441472376444,"Workload(z0=0.4706134508996786, z1=0.4966023421772056, q=0.01012270809054632, w=0.022661498832569345)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7500000000000001,0.5143250326727635,0.5130504583944878,0.1,0.004919441472376444,"Workload(z0=0.4706134508996786, z1=0.4966023421772056, q=0.01012270809054632, w=0.022661498832569345)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7500000000000001,0.5168911241743632,0.5130504584209664,0.2,0.004919441472376444,"Workload(z0=0.4706134508996786, z1=0.4966023421772056, q=0.01012270809054632, w=0.022661498832569345)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
0.7500000000000001,0.5203879806423729,0.5130504585244022,0.30000000000000004,0.004919441472376444,"Workload(z0=0.4706134508996786, z1=0.4966023421772056, q=0.01012270809054632, w=0.022661498832569345)","Workload(z0=0.49, z1=0.49, q=0.01, w=0.01)"
